Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Aachen,1,Valid,L5,21.0,1880-01-01,50.775,6.08333,"[50.775, 6.08333]"
Aarhus,2,Valid,H6,720.0,1951-01-01,56.18333,10.23333,"[56.18333, 10.23333]"
Abee,6,Valid,EH4,107000.0,1952-01-01,54.21667,-113.0,"[54.21667, -113.0]"
Acapulco,10,Valid,Acapulcoite,1914.0,1976-01-01,16.88333,-99.9,"[16.88333, -99.9]"
Achiras,370,Valid,L6,780.0,1902-01-01,-33.16667,-64.95,"[-33.16667, -64.95]"
Adhi Kot,379,Valid,EH4,4239.0,1919-01-01,32.1,71.8,"[32.1, 71.8]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,1949-01-01,44.83333,95.16667,"[44.83333, 95.16667]"
Agen,392,Valid,H5,30000.0,1814-01-01,44.21667,0.61667,"[44.21667, 0.61667]"
Aguada,398,Valid,L6,1620.0,1930-01-01,-31.6,-65.23333,"[-31.6, -65.23333]"
Aguila Blanca,417,Valid,L,1440.0,1920-01-01,-30.86667,-64.55,"[-30.86667, -64.55]"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,1974-01-01,16.39806,-9.57028,"[16.39806, -9.57028]"
Aïr,424,Valid,L6,24000.0,1925-01-01,19.08333,8.38333,"[19.08333, 8.38333]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01,50.66667,2.33333,"[50.66667, 2.33333]"
Akaba,426,Valid,L6,779.0,1949-01-01,29.51667,35.05,"[29.51667, 35.05]"
Akbarpur,427,Valid,H4,1800.0,1838-01-01,29.71667,77.95,"[29.71667, 77.95]"
Akwanga,432,Valid,H,3000.0,1959-01-01,8.91667,8.43333,"[8.91667, 8.43333]"
Akyumak,433,Valid,"Iron, IVA",50000.0,1981-01-01,39.91667,42.81667,"[39.91667, 42.81667]"
Al Rais,446,Valid,CR2-an,160.0,1957-01-01,24.41667,39.51667,"[24.41667, 39.51667]"
Al Zarnkh,447,Valid,LL5,700.0,2001-01-01,13.66033,28.96,"[13.66033, 28.96]"
Alais,448,Valid,CI1,6000.0,1806-01-01,44.11667,4.08333,"[44.11667, 4.08333]"
Albareto,453,Valid,L/LL4,2000.0,1766-01-01,44.65,11.01667,"[44.65, 11.01667]"
Alberta,454,Valid,L,625.0,1949-01-01,2.0,22.66667,"[2.0, 22.66667]"
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,2002-01-01,45.82133,6.01533,"[45.82133, 6.01533]"
Aldsworth,461,Valid,LL5,700.0,1835-01-01,51.78333,-1.78333,"[51.78333, -1.78333]"
Aleppo,462,Valid,L6,3200.0,1873-01-01,36.23333,37.13333,"[36.23333, 37.13333]"
Alessandria,463,Valid,H5,908.0,1860-01-01,44.88333,8.75,"[44.88333, 8.75]"
Alexandrovsky,465,Valid,H4,9251.0,1900-01-01,50.95,31.81667,"[50.95, 31.81667]"
Alfianello,466,Valid,L6,228000.0,1883-01-01,45.26667,10.15,"[45.26667, 10.15]"
Allegan,2276,Valid,H5,32000.0,1899-01-01,42.53333,-85.88333,"[42.53333, -85.88333]"
Allende,2278,Valid,CV3,2000000.0,1969-01-01,26.96667,-105.31667,"[26.96667, -105.31667]"
